Som van AantalStemmen;Kolomlabels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijlabels;Beers;Beugen;Boxmeer;Cuijk;Gassel;Grave;Groeningen;Haps;Holthees;Katwijk;Landhorst;Langenboom;Ledeacker;Linden;Maashees;Mill;Oeffelt;Oploo;Overloon;Rijkevoort;Sambeek;Sint Agatha;Sint Anthonis;Sint Hubert;Stevensbeek;Velp;Vianen;Vierlingsbeek;Vortum-Mullem;Wanroij;Westerbeek;Wilbertoord;Eindtotaal
50PLUS;11;10;92;171;8;44;4;12;2;8;46;18;8;3;3;52;9;21;26;7;19;7;59;13;5;2;5;20;3;30;13;3;734
CDA;140;242;1864;1043;167;529;33;163;24;50;219;523;315;11;56;916;93;359;458;220;337;44;891;216;;187;80;163;246;588;174;;10351
ChristenUnie;0;12;42;34;1;20;12;3;6;0;1;4;5;0;1;8;5;4;7;0;6;1;10;2;2;2;0;52;10;12;0;1;263
D66;37;29;363;419;46;248;7;29;3;16;8;21;48;39;10;85;28;18;33;31;39;16;75;11;8;50;17;41;6;36;26;15;1858
Forum voor Democratie;12;9;150;256;18;154;9;39;8;8;12;21;24;5;21;104;21;27;57;17;26;12;64;25;19;9;4;68;12;37;5;10;1263
GROENLINKS / Partij van de Arbeid (P.v.d.A.);46;55;590;698;45;378;23;46;26;25;11;59;67;18;25;127;60;43;125;32;68;21;171;45;20;26;41;90;29;37;15;12;3074
KEERPUNT Samen standvastig vooruit;21;1;10;136;88;117;0;20;2;10;13;29;87;1;0;22;6;2;2;1;1;5;22;27;5;33;7;2;0;21;1;10;702
Liberaal LVC;102;21;216;1055;74;212;98;563;65;26;7;46;56;9;219;504;43;9;191;23;63;26;66;43;10;29;75;450;20;148;6;11;4486
Lijst Bart Theunissen;26;0;26;146;10;2;1;6;1;2;0;4;5;6;0;57;1;2;4;1;3;4;8;3;2;2;14;7;2;6;2;2;355
LPG;0;0;1;12;76;742;0;5;1;0;0;1;115;0;0;0;0;0;0;3;0;0;1;0;0;51;0;0;1;0;0;0;1009
SP (Socialistische Partij);17;44;607;476;27;163;13;26;25;9;8;45;20;2;32;109;31;18;65;28;64;8;90;22;17;8;34;134;28;21;14;5;2210
Team Lokaal;360;301;612;928;41;134;16;490;56;47;34;117;51;58;13;487;845;182;517;402;72;73;437;166;37;14;197;78;21;263;24;63;7136
VVD;30;40;382;373;27;282;14;24;11;15;8;84;49;7;6;163;28;79;52;31;58;18;134;11;17;24;18;32;26;66;19;7;2135
Eindtotaal;802;764;4955;5747;628;3025;230;1426;230;216;367;972;850;159;386;2634;1170;764;1537;796;756;235;2028;584;142;437;492;1137;404;1265;299;139;35576